family,name,class,cap_diameter,cap_shape,Cap_surface,cap_color,does_bruise_or_bleed,gill_attachment,gill_spacing,gill_color,stem_height,stem_width,stem_root,stem_surface,stem_color,veil_type,veil_color,has_ring,ring_type,Spore_print_color,habitat,season
Tricholoma_Family,Plums_and_custard,p,"[4, 12]",[f],[y],"[e, u, y]",[f],[s],[c],[y],"[4, 10]","[10, 25]",,[y],"[e, u, y]",,,[f],[f],,[d],[a]
Wax Gill_Family,Ivory_Wax_Cap,e,"[2, 5]","[x, f]",[s],[w],[f],[d],[d],[w],"[2, 5]","[4, 8]",,,[w],,,[f],[f],,"[g, m]","[a, w]"
Wax Gill_Family,Yellow_Wax_cap,p,"[3, 6]",[x],"[h, s, t]","[o, y]",[f],[a],[c],[y],"[5, 7]","[5, 10]",,[g],[o],,,[f],[f],,[g],"[u, a]"
Wax Gill_Family,Orange_red_Wax_Cap,p,"[1, 4]","[x, f]","[s, y]",[o],[f],"[a, d]",,"[o, y]","[2, 4]","[4, 7]",,,"[o, y]",,,[f],[f],,"[m, h]",[a]
Wax Gill_Family,Blackening_Wax_Cap,p,"[4, 7]","[b, x]","[s, i]","[e, o, k]",[f],[e],,"[y, g, k]","[4, 10]","[5, 10]",,,"[y, o, k]",,,[f],[f],,"[g, m]","[u, a]"
Wax Gill_Family,Meadow_Wax_Cap,e,"[3, 10]","[x, f, s]","[s, d]","[o, b]",[f],[d],[d],"[o, b]","[4, 8]","[10, 15]",,,[w],,,[f],[f],,"[g, m, d]","[a, w]"
Wax Gill_Family,Scarlet_Hood,e,"[2, 5]",[x],"[h, s, d]","[o, p, e]",[f],[a],[c],"[o, e]","[3, 6]","[5, 8]",,,"[o, e]",,,[f],[f],,"[g, m]","[u, a, w]"
Wax Gill_Family,Parrot_Wax_Cap,p,"[2, 4]","[b, f]","[t, w, d]","[r, p, y]",[f],[a],,"[r, y]","[4, 6]","[4, 8]",,[t],"[r, y]",,,[f],[f],,"[g, m, d]","[u, a]"
Wax Gill_Family,Herald_of_Winter,e,"[3, 5]","[x, f]",[t],[n],[f],[d],,[o],"[5, 7]","[5, 10]",,[t],"[w, o]",,,[f],[f],,[d],"[a, w]"
Russula_Family,Common_Yellow_Russula,e,"[4, 10]","[x, f, s]",,[y],[f],[a],[c],[w],"[4, 8]","[10, 20]",,,"[g,  w]",,,[f],[f],,[d],"[u, a, w]"
Russula_Family,Yellow_gilled_Russula,e,"[2, 6]",[x],,[y],[f],[a],[c],"[o, y]","[2, 6]","[6, 12]",,,[w],,,[f],[f],,[d],"[u, a]"
Russula_Family,Yellow_Swamp_Russula,e,"[4, 10]",[x],"[h, t]",[y],[t],[x],[c],[y],"[5, 10]","[10, 20]",,,[w],,,[f],[f],,[d],"[u, a]"
Russula_Family,Geranium_scented_Russula,p,"[4, 10]","[x, f, s]",[t],"[n, y]",[f],[x],[c],[y],"[3, 8]","[10, 20]",,,[y],,,[f],[f],,[d],[a]
Russula_Family,Stinking_Russula,p,"[6, 15]",[x],[t],[n],[f],[a],[d],[w],"[6, 15]","[20, 40]",,,[w],,,[f],[f],,[d],"[u, a]"
Russula_Family,Fragile_Russula,p,"[2, 6]","[f, s]",,[u],[f],[a],,[w],"[3, 6]","[5, 10]",,,"[w, y]",,,[f],[f],,[d],"[u, a]"
Russula_Family,Birch_Russula,p,"[2, 6]","[x, f]",,"[b, p, e, y]",[f],[x],,[w],"[3, 7]","[5, 8]",,,[w],,,[f],[f],,[d],"[u, a]"
Russula_Family,Bare_toothed_Russula,e,"[5, 10]","[x, f]",,"[n, p, e]",[f],[x],[c],[w],"[4, 10]","[10, 25]",,[s],[w],,,[f],[f],,[d],"[u, a]"
Russula_Family,The_Charcoal_Burner,e,"[5, 15]",[x],[e],"[l, y]",[f],[x],[c],[w],"[5, 10]","[10, 30]",,,[w],,,[f],[f],,[d],"[u, a]"
Russula_Family,Blackish_Purple_Russula,e,"[4, 12]","[x, f]",[s],"[u, k]",[f],[a],[c],[w],"[3, 6]","[10, 20]",,,[w],,,[f],[f],,[d],"[u, a]"
Russula_Family,Blackening_Russula,e,"[8, 25]","[x, f, s]","[s, t]","[k, n, w]",[f],[a],[d],"[y, k]","[4, 10]","[15, 30]",,,[w],,,[f],[f],[w],[d],"[u, a, w]"
Russula_Family,The_Sickener,p,"[5, 10]","[x, f]","[h, t]",[e],[f],[x],[d],[w],"[4, 8]","[15, 20]",[b],,[w],,,[f],[f],,[d],"[u, a]"
Russula_Family,Beechwood_Sickener,p,"[3, 7]",[x],,"[e, p, w]",[f],,[c],"[g, r, w]","[2, 5]","[10, 15]",,,[y],,,[f],[f],,[d],[a]
Russula_Family,Crab_scented_Russula,e,"[7, 15]","[x, f, s]",[s],"[n, r, u, y]",[f],[x],,[n],"[4, 10]","[15, 30]",,,"[n, p, w]",,,[f],[f],,[d],"[u, a, w]"
Russula_Family,Grass_green_Russula,p,"[5, 10]",[f],,"[r, y]",[f],[x],[c],"[y, n]","[5, 8]","[8, 15]",,,[w],,,[f],[f],,[d],"[u, a]"
Russula_Family,Peppery_Milk_Cap,e,"[8, 15]",[s],,[w],[t],[d],[c],"[w, p, y]","[4, 8]","[20, 30]",,,[w],,,[f],[f],,[d],"[u, a]"
Russula_Family,Fleecy_Milk_Cap,p,"[10, 25]","[x, f, s]",[k],[w],[t],[d],[d],"[w, n]","[4, 10]","[20, 40]",,,[w],,,[f],[f],,[d],"[u, a, w]"
Russula_Family,Oak_Milk_Cap,p,"[4, 9]","[x, s]",[d],"[n, e]",[t],[d],[c],"[n, w]","[4, 10]","[6, 12]",,,"[e, n]",,,[f],[f],,[d],[a]
Russula_Family,Slimy_Milk_Cap,p,"[5, 10]",[s],"[h, t]","[g, r, n]",[t],[d],,"[w, g]","[4, 5]","[10, 15]",,[t],"[g, r, n]",,,[f],[f],,[d],"[u, a]"
Russula_Family,Ugly_Milk_Cap,p,"[7, 20]","[x, f, s]",[t],"[g, r, k, n]",[t],[d],[c],"[w, b, n]","[4, 6]","[20, 30]",,,"[g, r, n]",,,[f],[f],,"[g, l, d]","[u, a]"
Russula_Family,Rufous_Milk_Cap,p,"[4, 10]","[f, s]",[d],"[n, e]",[t],[d],[c],"[y, w]","[4, 8]","[6, 12]",,,"[n, e]",,,[f],[f],,[d],"[u, a]"
Russula_Family,Sweet_Milk_Cap,p,"[3, 8]",[s],,"[e, n]",[t],[d],[c],"[b, p, w]","[4, 8]","[4, 8]",,,"[e, n]",,,[f],[f],,[d],"[u, a]"
Russula_Family,Small_Brown_Milk_Cap,p,"[2, 4]","[f, s]",[w],"[n, o]",[t],[d],[c],"[n, y]","[2, 5]","[4, 8]",,,[n],,,[f],[f],,[d],"[u, a]"
Russula_Family,Coconut_scented_Milk_Cap,e,"[2, 5]","[f, s]",[d],"[g, u, n, p]",[t],[d],[c],[p],"[3, 6]","[4, 8]",,,"[g, n]",,,[f],[f],,[d],"[u, a]"
Russula_Family,Woolly_Milk_Cap,p,"[6, 12]",[s],[t],[p],[t],[d],[c],[p],"[6, 10]","[10, 20]",,,[p],,,[t],[f],,[d],"[u, a]"
Russula_Family,Saffron_Milk_Cap,e,"[5, 15]",[s],[t],"[w, p, o]",[t],[d],[c],[o],"[4, 8]","[15, 20]",,,[w],,,[f],[f],,[d],"[u, a]"
Russula_Family,Spruce_Milk_Cap,p,"[5, 12]",[s],,"[o, y, r]",[t],[d],,[o],"[3, 7]","[10, 15]",,,[w],,,[t],[f],,[d],"[u, a]"
Pluteus_Family,Fawn_Pluteus,e,"[6, 12]",[x],[s],[n],[f],[e],[c],"[w, p]","[4, 10]","[8, 12]",,[i],"[w, n]",,,[f],[f],[p],[d],"[s, u, a, w]"
Pluteus_Family,Veined_Pluteus,e,"[4, 9]",[x],[y],[n],[f],[e],[c],"[p, w]","[3, 8]","[8, 12]",,[y],[n],,,[f],[f],,[d],"[u, a]"
Entoloma_Family,Silky_Nolanea,p,"[2, 5]","[x, f]",[k],"[n, w]",[f],[s],,[p],"[3, 5]","[2, 4]",,,[n],,,[f],[f],[p],[g],"[u, a]"
Entoloma_Family,Striated_Nolanea,p,"[3, 5]","[b, f]",[t],[n],[f],[x],[c],[p],"[4, 8]","[3, 6]",,[i],"[n, g]",,,[f],[f],,"[g, m, d]","[u, a]"
Entoloma_Family,White_Leptonia,p,"[2, 4]","[x, s]",[d],[w],[f],"[a, d]",[d],"[p, w]","[2, 5]","[2, 3]",,[h],[w],,,[f],[f],,[g],"[u, a]"
Entoloma_Family,Blue_Leptonia,p,"[1, 3]","[x, f]",[i],"[l, k]",[f],[a],,"[p, w]","[2, 6]","[2, 3]",,,[w],,,[f],[f],[p],[g],"[u, a]"
Entoloma_Family,Livid_Entoloma,p,"[6, 18]",[x],"[s, h]","[w, y, g, n]",[f],[s],,"[p, y]","[5, 10]","[15, 20]",,[i],[n],,,[f],[f],,[d],"[u, a]"
Entoloma_Family,The_Miller,e,"[4, 10]","[x, s]",[l],[w],[f],[d],,"[p, w]","[3, 4]","[6, 12]",,,[w],,,[f],[f],,"[g, d]","[u, a]"
Entoloma_Family,Apricot_Fungus,p,"[5, 10]","[x, f]",[w],[p],[f],[s],[c],[p],"[3, 6]","[8, 12]",,,[p],,,[f],[f],,[d],"[a, w]"
Bolbitius_Family,Egg_Yolk_Fungus,p,"[1, 3]","[c, f]","[h, t]","[y, n]",[f],,,"[y, n]","[5, 10]","[2, 4]",,,[y],,,[f],[f],,[g],"[u, a]"
Bolbitius_Family,Brown_Bell_Cap,p,"[1, 3]",[b],[g],"[n, o, y, w]",[f],,[c],[n],"[4, 8]","[2, 4]",,,[n],,,[f],[f],,"[g, m, d]","[s, u, a]"
Bolbitius_Family,Spring_Agaric,e,"[3, 6]",[x],,"[n, w]",[f],[x],[c],"[w, n]","[7, 9]","[6, 12]",[b],,"[n, w]",,[w],[t],,,"[g, d]","[s, u, a]"
Stropharia_Family,Shaggy_Pholiota,p,"[4, 12]",[x],[y],"[y, n]",[f],[a],[c],"[y, n]","[6, 15]","[7, 15]",,[y],"[y, n]",,,[t],,,[d],"[u, a]"
Stropharia_Family,Charcoal_Pholiota,p,"[2, 6]",[x],"[h, t]","[n, o]",[f],[a],[c],[n],"[3, 6]","[4, 8]",,[y],"[n, o]",,,[t],[z],,[d],"[a, w]"
Stropharia_Family,Brown_Stew_Fungus,e,"[3, 8]",[x],[h],[n],[f],[x],[c],"[w, n]","[3, 8]","[4, 8]",,"[y, s]",[n],,,[t],[r],,[d],"[s, u, a, w]"
Stropharia_Family,Sulphur_Tuft,p,"[2, 6]","[b, x]",[s],[y],[f],,[c],"[y, r, k]","[5, 12]","[5, 10]",,,[y],[u],[w],[t],[z],"[k, r]",[d],"[s, u, a, w]"
Stropharia_Family,Brick_Caps,p,"[4, 8]",[x],[e],[e],[f],[a],,"[w, y, g, n]","[6, 10]","[8, 12]",,,"[y, e, n]",,[w],[t],[z],,[d],[a]
Stropharia_Family,Verdigris_Toadstool,p,"[2, 6]","[b, x]","[h, t, y]","[r, l]",[f],[s],[c],"[g, n, u]","[4, 8]","[5, 10]",,[y],"[w, l, n]",,,[t],[e],"[k, u]","[g, m, d]","[u, a]"
Stropharia_Family,Dung_Roundhead,p,"[1, 3]",[p],[t],[n],[f],[a],[c],"[g, n]","[4, 10]","[2, 3]",,[t],[y],,,[t],[e],,[m],"[s, u, a]"
Stropharia_Family,Magic_Mushroom,p,"[0.5, 1.5]",[b],[t],"[n, y]",[f],,[c],"[g, k]","[2, 5]","[2, 3]",,,[n],,,[t],[f],,"[g, m]","[u, a]"
Cortinarius_Family,Red_banded_Cortinarius,p,"[6, 12]",[x],"[i, e]",[n],[f],[a],,[n],"[6, 15]","[10, 20]",[s],,[n],,"[e, n]",[f],[f],,"[d, h]",[a]
Cortinarius_Family,Purple_Cortinarius,p,"[5, 12]",[x],,"[g, u, n]",[t],[x],,"[n, u]","[6, 12]","[15, 25]",[s],,"[g, u, n]",,[u],[f],[f],,[d],[a]
Cortinarius_Family,Blood_red_Cortinarius,p,"[2, 5]",[x],[i],[e],[f],,,[e],"[3, 6]","[3, 8]",,,[e],,,[f],[f],[n],[d],[a]
Cortinarius_Family,Red_staining_Inocybe,p,"[3, 8]",[c],"[k, e]","[w, y]",[t],[x],[c],"[p, y, r]","[3, 10]","[10, 15]",,,[w],,,[f],[f],,"[g, d]","[s, u, a]"
Cortinarius_Family,Straw_coloured_Inocybe,p,"[3, 7]",[c],[i],[y],[f],,[c],"[n, r]","[5, 8]","[5, 10]",,,[w],,,[f],[f],,[d],"[u, a]"
Cortinarius_Family,Common_White_Inocybe,p,"[1, 4]","[c, f]",,"[w, u]",[f],[a],[c],"[w, n]","[2, 5]","[3, 4]",,[i],"[w, u]",,,[f],[f],,"[p, d]","[u, a]"
Cortinarius_Family,Poison_Pie,p,"[4, 10]",[x],"[s, t]",[n],[f],[s],,"[g, n]","[4, 7]","[5, 10]",,[y],[n],,,[f],[f],,[d],"[a, w]"
Cortinarius_Family,Dark_centred_Hebeloma,p,"[2, 5]",[x],[t],[n],[f],[s],[c],"[n, p]","[4, 7]","[5, 12]",,,[w],,[n],[t],[z],,[d],"[u, a]"
Cortinarius_Family,Rusty_Wood_Rotter,p,"[4, 8]","[b, x, f]","[d, k]",[n],[f],"[a, d]",[c],"[y, n]","[4, 7]","[5, 8]",,[i],"[y, n]",,,[t],,,[d],"[u, a]"
Cortinarius_Family,Spectacular_Gymnopile,p,"[6, 15]",[x],"[d, e, y, i]","[y, o]",[f],[a],,"[o, y]","[6, 18]","[15, 30]",[r],,"[o, y]",,,[t],[r],[n],[d],"[u, a, w]"
Cortinarius_Family,Moss_Pixy_Cap,p,"[1, 2]",[b],[h],[n],[f],[a],,[n],"[3, 6]","[1, 2]",,[t],[n],,,[f],[f],,"[g, h, d]","[s, u, a]"
Mushroom_Family,Field_Mushroom,e,"[3, 10]","[p, x, f]","[s, y]",[w],[f],[e],[c],"[p, n, k]","[3, 7]","[10, 15]",,,[w],,[w],[t],[e],,"[g, m]","[u, a]"
Mushroom_Family,Cultivated_Mushroom,e,"[3, 10]","[f, x]","[i, y]",[n],[f],[e],[c],"[p, n]","[3, 6]","[10, 15]",,,[w],,,[t],"[l, r]",,[w],"[u, a]"
Mushroom_Family,Horse_Mushroom,e,"[5, 20]","[p, x, f]",[s],"[w, n]",[t],[e],,"[g, n]","[5, 15]","[15, 20]",[s],,[w],,,[t],"[l, r]",,[m],"[u, a]"
Mushroom_Family,Yellow_staining_Mushroom,p,"[5, 10]",[x],[y],[w],[t],,,"[w, g, p, n]","[6, 10]","[10, 18]",[s],,[w],,,[t],[l],,"[g, d]","[u, a]"
Mushroom_Family,Bleeding_Brown_Mushroom,e,"[8, 12]","[p, x]","[i, y]",[n],[t],[e],,[p],"[8, 10]","[15, 20]",,[y],[w],,,[t],"[l, p]",,"[l, d]",[a]
Ink Cap_Family,Shaggy_Ink_Cap,e,"[5, 15]","[p, f]","[y, s]",[w],[f],[e],[c],"[k, p, w]","[8, 30]","[10, 15]",,[s],[w],,,[t],[e],,"[g, u, d]","[s, u, a, w]"
Ink Cap_Family,Common_Ink_Cap,p,"[4, 8]","[p, b]","[s, y]","[g, n]",[f],,,"[w, g, k]","[5, 15]","[10, 15]",,[s],[w],,,[t],[z],,"[g, d]","[s, u, a, w]"
Ink Cap_Family,Magpie_Ink_Cap,p,"[6, 10]","[p, b]",[y],"[w, n]",[f],,,"[k, p]","[10, 20]","[15, 20]",,,[w],,,[f],[f],,[d],[a]
Ink Cap_Family,Rusty_Carpet_Ink_Cap,p,"[2, 5]",[b],[y],[n],[f],,[c],"[w, g, u]","[4, 8]","[4, 5]",[s],[s],[w],,,[f],[f],,[d],"[u, a]"
Ink Cap_Family,Glistening_Ink_Cap,e,"[2, 4]",[b],[y],[n],[f],,[c],"[k, n]","[5, 8]","[2, 4]",,,[w],,,[f],[f],,[d],"[s, u, a, w]"
Ink Cap_Family,Fairies'_Bonnets,e,"[0.5, 1.5]","[p, b]",[g],"[w, g]",[f],,,[g],"[2, 4]","[1, 2]",,,[w],,,[f],[f],,[d],"[s, u, a, w]"
Ink Cap_Family,Fairy_Parasol,e,"[1, 2]","[x, f]",[w],"[n, g]",[f],,[d],"[g, k]","[4, 6]","[2, 3]",,,[w],,,[f],[f],,"[g, d]","[s, u, a, w]"
Ink Cap_Family,Common_Crumble_Cap,e,"[3, 6]","[x, f]",,"[n, y, w]",[f],[x],[c],"[w, u, g, n]","[5, 8]","[3, 5]",,,[w],,,[f],[f],,[d],"[u, a]"
Ink Cap_Family,Two_toned_Crumble_Cap,e,"[2, 5]","[x, f]",[h],[n],[f],,[c],"[k, n]","[4, 8]","[5, 8]",,[s],[w],,[w],[f],[f],[k],[d],"[u, a]"
